symbol	first_line	chapter	section	defined_before_use	status	scope_or_conflict	canonical_definition	anchor
y(p)	9115	Theory of the Firm	Profit maximization	yes	ok	Correctly called a correspondence, though later derivatives require local single-valuedness.	Profit-maximizing supply correspondence argmax_{y in Y} p dot y.	supply-correspondence
p (output price scalar)	9159	Theory of the Firm	Profit maximization	no	conflict	The same p was defined as an L-vector five paragraphs earlier; no scalar specialization is announced.	Scalar output price in the single-output primal problem; rename p_y or state the specialization explicitly.	output-price
w (input prices)	9159	Theory of the Firm	Profit maximization	no	forward	Used in the profit problem before line 9179 introduces it as a strictly positive input-price vector; w earlier means wealth.	Strictly positive input-price vector.	input-price-vector
c(w,q)	9185	Theory of the Firm	Cost minimization	yes	ok	No conflict.	Minimum cost of producing at least q at input prices w.	cost-function
z(w,q)	9191	Theory of the Firm	Cost minimization	yes	ok	Called a correspondence, so derivatives later require uniqueness as stated locally.	Conditional factor-demand correspondence attaining the cost minimum.	conditional-factor-demand
lambda (cost KKT)	9197	Theory of the Firm	Cost minimization	no	overload	KKT multiplier is only inferable from the system and reuses the consumer multiplier glyph.	Nonnegative multiplier on the firm's output constraint.	cost-constraint-multiplier
j,J (firms)	9242	Theory of the Firm	Aggregation and efficiency	yes	overload	Same labels counted alternatives in discrete choice.	Firms j=1,...,J within the firm-aggregation section.	firm-index
Y_j	9243	Theory of the Firm	Aggregation and efficiency	yes	ok	Firm-specific technologies are well typed and their Minkowski sum is defined immediately afterward.	Production set of firm j.	firm-specific-production-set
sum_j Y_j	9248	Theory of the Firm	Aggregation and efficiency	yes	ok	Minkowski-sum meaning is defined by the displayed set equality.	Aggregate production set obtained as the Minkowski sum of individual technologies.	aggregate-technology
pi_Y	9257	Theory of the Firm	Aggregation and efficiency	no	define	Indexed profit function appears without an explicit convention pi_Y(p):=sup_{y in Y}p dot y.	Profit support function associated with technology Y.	technology-profit-function
y_Y	9259	Theory of the Firm	Aggregation and efficiency	no	define	Indexed aggregate supply appears without an explicit definition, and equality must be set-valued.	Supply correspondence associated with aggregate technology Y.	aggregate-supply-correspondence
y_j(p)	9259	Theory of the Firm	Aggregation and efficiency	no	define	The firm-specific supply correspondence in the sum is not explicitly linked to y_{Y_j}(p); the displayed equality is set-valued.	Profit-maximizing supply correspondence of firm j at price p.	firm-specific-supply
alpha,beta (Cobb-Douglas)	9316	Theory of the Firm	Problems	no	overload	Production exponents first appear in the function before positivity is stated; both symbols have several prior roles.	Positive Cobb-Douglas output elasticities; use alpha_f,beta_f in a global glossary if needed.	cobb-douglas-exponents
